"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","TOT","GWH","A","2017",243517,
"AUS","ELECTRICITY","TOT","GWH","A","2018",247292,
"AUS","ELECTRICITY","TOT","GWH","A","2019",250531,
"AUS","ELECTRICITY","TOT","GWH","A","2020",251913.481,
"AUS","ELECTRICITY","TOT","GWH","A","2021",,"L"
"AUT","ELECTRICITY","TOT","GWH","A","2017",68093.595,
"AUT","ELECTRICITY","TOT","GWH","A","2018",65383.711,
"AUT","ELECTRICITY","TOT","GWH","A","2019",71101.128,
"AUT","ELECTRICITY","TOT","GWH","A","2020",69424.515,
"AUT","ELECTRICITY","TOT","GWH","A","2021",,"L"
"BEL","ELECTRICITY","TOT","GWH","A","2017",83122.9,
"BEL","ELECTRICITY","TOT","GWH","A","2018",72065.1,
"BEL","ELECTRICITY","TOT","GWH","A","2019",89913.4,
"BEL","ELECTRICITY","TOT","GWH","A","2020",86055.1,
"BEL","ELECTRICITY","TOT","GWH","A","2021",,"L"
"CAN","ELECTRICITY","TOT","GWH","A","2017",644699,
"CAN","ELECTRICITY","TOT","GWH","A","2018",639661,
"CAN","ELECTRICITY","TOT","GWH","A","2019",634022,
"CAN","ELECTRICITY","TOT","GWH","A","2020",633844,
"CAN","ELECTRICITY","TOT","GWH","A","2021",,"L"
"CZE","ELECTRICITY","TOT","GWH","A","2017",79885.766,
"CZE","ELECTRICITY","TOT","GWH","A","2018",80861.141,
"CZE","ELECTRICITY","TOT","GWH","A","2019",80116.433,
"CZE","ELECTRICITY","TOT","GWH","A","2020",75067.275,
"CZE","ELECTRICITY","TOT","GWH","A","2021",,"L"
"DNK","ELECTRICITY","TOT","GWH","A","2017",29638.3,
"DNK","ELECTRICITY","TOT","GWH","A","2018",29315.485,
"DNK","ELECTRICITY","TOT","GWH","A","2019",28689.557,
"DNK","ELECTRICITY","TOT","GWH","A","2020",27880.596,
"DNK","ELECTRICITY","TOT","GWH","A","2021",,"L"
"FIN","ELECTRICITY","TOT","GWH","A","2017",65043,
"FIN","ELECTRICITY","TOT","GWH","A","2018",67533,
"FIN","ELECTRICITY","TOT","GWH","A","2019",66053,
"FIN","ELECTRICITY","TOT","GWH","A","2020",66598,
"FIN","ELECTRICITY","TOT","GWH","A","2021",,"L"
"FRA","ELECTRICITY","TOT","GWH","A","2017",537849.217,
"FRA","ELECTRICITY","TOT","GWH","A","2018",557797.779,
"FRA","ELECTRICITY","TOT","GWH","A","2019",547042.793,
"FRA","ELECTRICITY","TOT","GWH","A","2020",509273.719,
"FRA","ELECTRICITY","TOT","GWH","A","2021",,"L"
"DEU","ELECTRICITY","TOT","GWH","A","2017",619053,
"DEU","ELECTRICITY","TOT","GWH","A","2018",605651,
"DEU","ELECTRICITY","TOT","GWH","A","2019",575864,
"DEU","ELECTRICITY","TOT","GWH","A","2020",544894,
"DEU","ELECTRICITY","TOT","GWH","A","2021",,"L"
"GRC","ELECTRICITY","TOT","GWH","A","2017",50589.215,
"GRC","ELECTRICITY","TOT","GWH","A","2018",50083.654,
"GRC","ELECTRICITY","TOT","GWH","A","2019",45557,
"GRC","ELECTRICITY","TOT","GWH","A","2020",45334.743,
"GRC","ELECTRICITY","TOT","GWH","A","2021",,"L"
"HUN","ELECTRICITY","TOT","GWH","A","2017",30728,
"HUN","ELECTRICITY","TOT","GWH","A","2018",29891,
"HUN","ELECTRICITY","TOT","GWH","A","2019",32137,
"HUN","ELECTRICITY","TOT","GWH","A","2020",32914,
"HUN","ELECTRICITY","TOT","GWH","A","2021",,"L"
"ISL","ELECTRICITY","TOT","GWH","A","2017",18846.295,
"ISL","ELECTRICITY","TOT","GWH","A","2018",19432.498,
"ISL","ELECTRICITY","TOT","GWH","A","2019",19119.793,
"ISL","ELECTRICITY","TOT","GWH","A","2020",18778.694,
"ISL","ELECTRICITY","TOT","GWH","A","2021",,"L"
"IRL","ELECTRICITY","TOT","GWH","A","2017",30093.248,
"IRL","ELECTRICITY","TOT","GWH","A","2018",30357.337,
"IRL","ELECTRICITY","TOT","GWH","A","2019",30274.252,
"IRL","ELECTRICITY","TOT","GWH","A","2020",31519.746,
"IRL","ELECTRICITY","TOT","GWH","A","2021",,"L"
"ITA","ELECTRICITY","TOT","GWH","A","2017",285265.649,
"ITA","ELECTRICITY","TOT","GWH","A","2018",279844.619,
"ITA","ELECTRICITY","TOT","GWH","A","2019",283950.056,
"ITA","ELECTRICITY","TOT","GWH","A","2020",271647.989,
"ITA","ELECTRICITY","TOT","GWH","A","2021",,"L"
"JPN","ELECTRICITY","TOT","GWH","A","2017",1032692.774,
"JPN","ELECTRICITY","TOT","GWH","A","2018",1024901.105,
"JPN","ELECTRICITY","TOT","GWH","A","2019",998494.221,
"JPN","ELECTRICITY","TOT","GWH","A","2020",975645.741,
"JPN","ELECTRICITY","TOT","GWH","A","2021",,"L"
"KOR","ELECTRICITY","TOT","GWH","A","2017",545796.002,
"KOR","ELECTRICITY","TOT","GWH","A","2018",566845.053,
"KOR","ELECTRICITY","TOT","GWH","A","2019",559099.467,
"KOR","ELECTRICITY","TOT","GWH","A","2020",556911.298,
"KOR","ELECTRICITY","TOT","GWH","A","2021",,"L"
"LUX","ELECTRICITY","TOT","GWH","A","2017",2204.811,
"LUX","ELECTRICITY","TOT","GWH","A","2018",2170.172,
"LUX","ELECTRICITY","TOT","GWH","A","2019",1877.378,
"LUX","ELECTRICITY","TOT","GWH","A","2020",2209.68,
"LUX","ELECTRICITY","TOT","GWH","A","2021",,"L"
"MEX","ELECTRICITY","TOT","GWH","A","2017",308933.13,
"MEX","ELECTRICITY","TOT","GWH","A","2018",340878,
"MEX","ELECTRICITY","TOT","GWH","A","2019",338805,
"MEX","ELECTRICITY","TOT","GWH","A","2020",309880,
"MEX","ELECTRICITY","TOT","GWH","A","2021",,"L"
"NLD","ELECTRICITY","TOT","GWH","A","2017",113402.763,
"NLD","ELECTRICITY","TOT","GWH","A","2018",110842.489,
"NLD","ELECTRICITY","TOT","GWH","A","2019",117856.188,
"NLD","ELECTRICITY","TOT","GWH","A","2020",120157.982,
"NLD","ELECTRICITY","TOT","GWH","A","2021",,"L"
"NZL","ELECTRICITY","TOT","GWH","A","2017",43108.881,
"NZL","ELECTRICITY","TOT","GWH","A","2018",43253.502,
"NZL","ELECTRICITY","TOT","GWH","A","2019",43589.8,
"NZL","ELECTRICITY","TOT","GWH","A","2020",43182.479,
"NZL","ELECTRICITY","TOT","GWH","A","2021",,"L"
"NOR","ELECTRICITY","TOT","GWH","A","2017",148763,
"NOR","ELECTRICITY","TOT","GWH","A","2018",146237.601,
"NOR","ELECTRICITY","TOT","GWH","A","2019",134665.796,
"NOR","ELECTRICITY","TOT","GWH","A","2020",153651.753,
"NOR","ELECTRICITY","TOT","GWH","A","2021",,"L"
"POL","ELECTRICITY","TOT","GWH","A","2017",154869.344,
"POL","ELECTRICITY","TOT","GWH","A","2018",155259.671,
"POL","ELECTRICITY","TOT","GWH","A","2019",151362.969,
"POL","ELECTRICITY","TOT","GWH","A","2020",146150.551,
"POL","ELECTRICITY","TOT","GWH","A","2021",,"L"
"PRT","ELECTRICITY","TOT","GWH","A","2017",57668.978,
"PRT","ELECTRICITY","TOT","GWH","A","2018",58197.215,
"PRT","ELECTRICITY","TOT","GWH","A","2019",52185.2,
"PRT","ELECTRICITY","TOT","GWH","A","2020",52278.265,
"PRT","ELECTRICITY","TOT","GWH","A","2021",,"L"
"SVK","ELECTRICITY","TOT","GWH","A","2017",25692,
"SVK","ELECTRICITY","TOT","GWH","A","2018",24863,
"SVK","ELECTRICITY","TOT","GWH","A","2019",26366,
"SVK","ELECTRICITY","TOT","GWH","A","2020",26373,
"SVK","ELECTRICITY","TOT","GWH","A","2021",,"L"
"ESP","ELECTRICITY","TOT","GWH","A","2017",264918,
"ESP","ELECTRICITY","TOT","GWH","A","2018",263827,
"ESP","ELECTRICITY","TOT","GWH","A","2019",263796,
"ESP","ELECTRICITY","TOT","GWH","A","2020",254591,
"ESP","ELECTRICITY","TOT","GWH","A","2021",,"L"
"SWE","ELECTRICITY","TOT","GWH","A","2017",160526,
"SWE","ELECTRICITY","TOT","GWH","A","2018",159677,
