"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATETRY","MSTR_MEN","PC","A","2017",4.924,
"AUS","GRADRATETRY","MSTR_MEN","PC","A","2018",5.103,
"AUS","GRADRATETRY","MSTR_MEN","PC","A","2019",4.877,
"AUS","GRADRATETRY","MSTR_MEN","PC","A","2020",4.716,
"AUS","GRADRATETRY","MSTR_WOMEN","PC","A","2017",6.865,
"AUS","GRADRATETRY","MSTR_WOMEN","PC","A","2018",7.093,
"AUS","GRADRATETRY","MSTR_WOMEN","PC","A","2019",7.012,
"AUS","GRADRATETRY","MSTR_WOMEN","PC","A","2020",6.906,
"AUT","GRADRATETRY","MSTR_MEN","PC","A","2017",11.786,
"AUT","GRADRATETRY","MSTR_MEN","PC","A","2018",12.348,
"AUT","GRADRATETRY","MSTR_MEN","PC","A","2019",11.782,
"AUT","GRADRATETRY","MSTR_MEN","PC","A","2020",12.25,
"AUT","GRADRATETRY","MSTR_WOMEN","PC","A","2017",15.068,
"AUT","GRADRATETRY","MSTR_WOMEN","PC","A","2018",14.661,
"AUT","GRADRATETRY","MSTR_WOMEN","PC","A","2019",14.264,
"AUT","GRADRATETRY","MSTR_WOMEN","PC","A","2020",15.42,
"BEL","GRADRATETRY","MSTR_MEN","PC","A","2017",16.207,
"BEL","GRADRATETRY","MSTR_MEN","PC","A","2018",14.516,
"BEL","GRADRATETRY","MSTR_MEN","PC","A","2019",17.593,
"BEL","GRADRATETRY","MSTR_MEN","PC","A","2020",18.103,
"BEL","GRADRATETRY","MSTR_WOMEN","PC","A","2017",21.475,
"BEL","GRADRATETRY","MSTR_WOMEN","PC","A","2018",18.206,
"BEL","GRADRATETRY","MSTR_WOMEN","PC","A","2019",22.922,
"BEL","GRADRATETRY","MSTR_WOMEN","PC","A","2020",23.738,
"CZE","GRADRATETRY","MSTR_MEN","PC","A","2017",14.793,
"CZE","GRADRATETRY","MSTR_MEN","PC","A","2018",14.182,
"CZE","GRADRATETRY","MSTR_MEN","PC","A","2019",13.406,
"CZE","GRADRATETRY","MSTR_MEN","PC","A","2020",13.396,
"CZE","GRADRATETRY","MSTR_WOMEN","PC","A","2017",22.635,
"CZE","GRADRATETRY","MSTR_WOMEN","PC","A","2018",22.469,
"CZE","GRADRATETRY","MSTR_WOMEN","PC","A","2019",20.849,
"CZE","GRADRATETRY","MSTR_WOMEN","PC","A","2020",20.832,
"DNK","GRADRATETRY","MSTR_MEN","PC","A","2017",21.56,
"DNK","GRADRATETRY","MSTR_MEN","PC","A","2018",19.661,
"DNK","GRADRATETRY","MSTR_MEN","PC","A","2019",19.342,
"DNK","GRADRATETRY","MSTR_MEN","PC","A","2020",18.665,
"DNK","GRADRATETRY","MSTR_WOMEN","PC","A","2017",27.682,
"DNK","GRADRATETRY","MSTR_WOMEN","PC","A","2018",25.439,
"DNK","GRADRATETRY","MSTR_WOMEN","PC","A","2019",25.653,
"DNK","GRADRATETRY","MSTR_WOMEN","PC","A","2020",24.444,
"FIN","GRADRATETRY","MSTR_MEN","PC","A","2017",13.125,
"FIN","GRADRATETRY","MSTR_MEN","PC","A","2018",12.707,
"FIN","GRADRATETRY","MSTR_MEN","PC","A","2019",13.719,
"FIN","GRADRATETRY","MSTR_MEN","PC","A","2020",15.394,
"FIN","GRADRATETRY","MSTR_WOMEN","PC","A","2017",18.421,
"FIN","GRADRATETRY","MSTR_WOMEN","PC","A","2018",19.357,
"FIN","GRADRATETRY","MSTR_WOMEN","PC","A","2019",19.968,
"FIN","GRADRATETRY","MSTR_WOMEN","PC","A","2020",23.321,
"DEU","GRADRATETRY","MSTR_MEN","PC","A","2017",14.406,
"DEU","GRADRATETRY","MSTR_MEN","PC","A","2018",14.551,
"DEU","GRADRATETRY","MSTR_MEN","PC","A","2019",14.577,
"DEU","GRADRATETRY","MSTR_MEN","PC","A","2020",13.43,
"DEU","GRADRATETRY","MSTR_WOMEN","PC","A","2017",16.653,
"DEU","GRADRATETRY","MSTR_WOMEN","PC","A","2018",17.106,
"DEU","GRADRATETRY","MSTR_WOMEN","PC","A","2019",17.895,
"DEU","GRADRATETRY","MSTR_WOMEN","PC","A","2020",16.656,
"GRC","GRADRATETRY","MSTR_MEN","PC","A","2017",6.303,
"GRC","GRADRATETRY","MSTR_MEN","PC","A","2018",6.967,
"GRC","GRADRATETRY","MSTR_MEN","PC","A","2019",6.7,
"GRC","GRADRATETRY","MSTR_MEN","PC","A","2020",7.356,
"GRC","GRADRATETRY","MSTR_WOMEN","PC","A","2017",10.589,
"GRC","GRADRATETRY","MSTR_WOMEN","PC","A","2018",13.021,
"GRC","GRADRATETRY","MSTR_WOMEN","PC","A","2019",13.058,
"GRC","GRADRATETRY","MSTR_WOMEN","PC","A","2020",13.071,
"HUN","GRADRATETRY","MSTR_MEN","PC","A","2017",9.483,
"HUN","GRADRATETRY","MSTR_MEN","PC","A","2018",9.199,
"HUN","GRADRATETRY","MSTR_MEN","PC","A","2019",8.984,
"HUN","GRADRATETRY","MSTR_MEN","PC","A","2020",12.533,
"HUN","GRADRATETRY","MSTR_WOMEN","PC","A","2017",14.17,
