"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2017",50690.619543,
"AUS","GDP","TOT","USD_CAP","A","2018",52991.2149,
"AUS","GDP","TOT","USD_CAP","A","2019",52632.382088,
"AUS","GDP","TOT","USD_CAP","A","2020",55996.378043,
"AUS","GDP","TOT","USD_CAP","A","2021",62345.152673,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",58040.271257,
"AUT","GDP","TOT","USD_CAP","A","2020",55938.853807,
"AUT","GDP","TOT","USD_CAP","A","2021",58861.220714,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",54324.355662,
"BEL","GDP","TOT","USD_CAP","A","2020",53430.950766,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58352.933383,"P"
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49892.028612,
"CAN","GDP","TOT","USD_CAP","A","2019",49286.811601,
"CAN","GDP","TOT","USD_CAP","A","2020",46572.141022,
"CAN","GDP","TOT","USD_CAP","A","2021",52021.596768,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",42865.741123,
"CZE","GDP","TOT","USD_CAP","A","2020",41706.802061,
"CZE","GDP","TOT","USD_CAP","A","2021",44197.925718,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",58495.572023,
"DNK","GDP","TOT","USD_CAP","A","2020",60098.509654,
"DNK","GDP","TOT","USD_CAP","A","2021",64876.683301,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",50322.84765,
"FIN","GDP","TOT","USD_CAP","A","2020",50936.750455,
"FIN","GDP","TOT","USD_CAP","A","2021",54667.795656,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",48700.802342,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",46713.800171,"P"
"FRA","GDP","TOT","USD_CAP","A","2021",50543.711372,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",55651.435768,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",55461.202156,"P"
